Organisation,Religion,Denomonation,Address Line 1,Address Line 2,Area,City,Postcode,Latitude,Longditude ,Contact Name,Telephone,Telephone2,Website,email,Activities,Education/Language,Outreach/Counselling,Lunch Club/Meal Provision/Café,Fitness,Youth club,Using Building
Leeds Muslim College,Muslim,Unknown,5 Mexborough Drive,,Chapeltown,Leeds,LS73EL,-1.533459,53.814859,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,
Shahjalal Jamia Masjid (Bangladeshi Islamic Society),Muslim,Unknown,27 Ellers Road,,Chapeltown,Leeds,LS84JH,-1.5201626,53.817402,Unkonwn,0113 2406558,Unkonwn,www.shahjalal-masjid.com,Unkonwn,Unkonwn,,,,,,
Gurdwara Namdhari Sanghat,Sikh,Unknown,61 Louis Street,,Chapeltown,Leeds,LS74BP,-1.5272439,53.813061,Unkonwn,0113 262 5095,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,
Guru Kalgidhar Gurdwara,Sikh,Unknown,Cowper Street,,Chapeltown,Leeds,LS74EE,-1.5314034,53.815956,Unkonwn,0113 219 3370,Unkonwn,www.gurukalgidharleeds.com,Unkonwn,Unkonwn,,,,,,
The Sikh Temple,Sikh,Unknown,192 Chapeltown Road,,Chapeltown,Leeds,LS74HZ,-1.5321398,53.822113,Unkonwn,0113 262 9073,Unkonwn,www.thesikhtemple.org,Unkonwn,Khalsa Science Academy and Sikh Centre (10 Brandon Way LS74HY 0113 2625156),Yes,,,,,
Gurdwara Guru Hargobind Sahib Ji,Sikh,Unknown,Harehills Lane,,Chapeltown,Leeds,LS74HB,-1.523584,53.821083,Unkonwn,0113 237 4877,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,
Ramgharia Board,Sikh,Unknown,8-10 Chapeltown Road,,Chapeltown,Leeds,LS73AP,-1.534438,53.808527,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Sports Centre/Function Room,,,,Yes,,
Mount Zion Pentecostal Apostolic Church,Christian,Unknown,Pasture Road,,Harehills,Leeds,LS84LW,-1.5230647,53.817314,Irma Williams,0113 237 4402, 07886 394386,Unkonwn,Unkonwn,Unkonwn,,,,,,
Apostolic Faith Mission International Ministries,Christian,Unknown,2 Grant Avenue,,Harehills,Leeds,LS71RQ,-1.528848,53.809649,Unkonwn,Unkonwn,Unkonwn,http://www.afmim.org/leeds,Unkonwn,Unkonwn,,,,,,
Al-Hassan Education Centre,Muslim,Unknown,24 Sheperds Lane,,Harehills,Leeds,LS84LH,-1.5227113,53.816334,Unkonwn,0113 3070500,Unkonwn,www.alhassan.org.uk,Unkonwn,"Quba Mosque, school, community centre, gym, older person's lunch club (Apna Centre), Muslim funeral service, Urdu language class",Yes,,Yes,Yes,Yes,
Al Towbah Masjid,Muslim (Salafi),Salafi,Whitfield Street,,Harehills,Leeds,LS85AJ,-1.5219342,53.812557,Unkonwn,0113 2403901,Unkonwn,www.al-towbahislamiccentre.com,Unkonwn,Unkonwn,,,,,,
Jamia Tul Batool (Islamic Institute),Muslim (Sunni),Sunni,7 Beck Road,,Harehills,Leeds,LS84EJ,-1.5180058,53.817394,Unkonwn,0113 2485067,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,
Jamia Masjid Bilal,Muslim,Unkonwn,Conway Road,,Harehills,Leeds,LS85JH,-1.5158836,53.813072,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,
St Augustine's Roman Catholic Church,Christian (Catholic),Chatholic,Harehills Road,,Harehills,Leeds,LS85HR,-1.51696,53.81588,Gillian Kerrigan,0113 2490762,Unkonwn,Unkonwn,st.aug_of_cant@btopenworld.com,Social get-togethers · Monday Club for the Elderly · Visits to the sick · Activities for young people Various groups: · NSPCC · Legion of Mary’s Group · Prayer Group · Stalls Event to support charities overseas (Tanzania and Peru),,Yes,Yes,,Yes,
St Aidan's Church,Christian (Anglican),Anglican,Elford Place,,Harehills,Leeds,LS85QD,-1.5202821,53.812252,Barrie Pepper,0113 2658595,Unkonwn,Unkonwn,Unkonwn,Daily religious service at the church · PAFRAS – Offers meals/drop in centre · ESOL classes · Zimbabwe Group · Iranians Christian Group · Asylum Seekers/Refugees · Eritrean Church,yes,,Yes,,,
Trinity United Reform Church,Christian,Unknown,Banstead Terrace West,,Harehills,Leeds,LS85PX,-1.5183851,53.813457,Rev Mark Harwood,01133070915,Unkonwn,Unkonwn,Unkonwn,"Oasis Women's Fellowship, Café, Zimbabwean Church, Dementia Friendly Café (last Wednesday of each month)",,,Yes,,,
New Testament Church of God,Christian,Unknown,3 Easterley Road,,Harehills,Leeds,LS82TN,-1.5115325,53.817627,Pastor Tony Parry,01132406561,Unkonwn,Unkonwn,Unkonwn,Luncheon Club (x2 weekly) and meal delivery; Outreach Support; Arm-Chair Exercises,,Yes,Yes,Yes,,
The Redeemed Christian Church of God,Christian,Unknown,31 Ashley Road,,Harehills,Leeds,LS97AJ,-1.512345,53.810629,Unkonwn,01132488423,07958310535,Unkonwn,Unkonwn,Unkonwn,,,,,,
The Greek Orthodox Church of the Three Hierarchs,Christian (Orthodox),Orthodox,57 Harehills Avenue,,Harehills,Leeds,LS84EU,-1.5196851,53.817986,Unkonwn,0113 2490814,Unkonwn,Unkonwn,papasamuelk@fsmail.net,Unkonwn,,,,,,
Sri Baba Vishvakarma,Hindu,Unkonwn,8 Roundhay Road,,Harehills,Leeds,LS71AB,-1.532029,53.808714,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,Unkonwn,,,,,,
